meter,do,temp,ph,spc_c,group,date
0,9.94,13.9,7.72,1725,tcj,02-07-2022
10,10.05,14.5,7.55,1713,tcj,02-07-2022
20,9.66,14.5,7.51,1717,tcj,02-07-2022
30,9.69,14.9,7.6,1720,tcj,02-07-2022
40,9.7,15.2,7.65,1719,tcj,02-07-2022
50,9.86,15.4,7.5,924,tcj,02-07-2022
60,10.01,15.1,7.52,1706,tcj,02-07-2022
70,9.79,15.2,7.56,1716,tcj,02-07-2022
80,9.69,15.1,7.63,1717,tcj,02-07-2022
90,9.49,15.1,7.59,1719,tcj,02-07-2022
100,9.45,15.1,7.5,1707,tcj,02-07-2022
110,9.64,15.1,7.3,1720,tcj,02-07-2022
120,9.24,15.3,7.33,1718,tcj,02-07-2022
130,9.36,15.1,7.42,1720,tcj,02-07-2022
140,9.44,15.4,7.58,1720,tcj,02-07-2022
150,9.68,15.6,7.55,1719,tcj,02-07-2022
160,9.76,15.7,7.61,1708,tcj,02-07-2022
170,9.88,15.9,7.64,1715,tcj,02-07-2022
180,9.95,16.3,7.59,1724,tcj,02-07-2022
190,9.8,16.8,7.65,1676,tcj,02-07-2022
200,9.86,16.7,7.63,1722,tcj,02-07-2022
210,9.56,16.1,7.6,1723,tcj,02-07-2022
220,9.46,15.9,7.6,1720,tcj,02-07-2022
230,9.42,15.7,7.56,1818,tcj,02-07-2022
240,9.42,15.6,7.55,1719,tcj,02-07-2022
250,9.4,15.8,7.58,1712,tcj,02-07-2022
260,9.45,15.9,7.55,1714,tcj,02-07-2022
270,9.54,15.8,7.45,1731,tcj,02-07-2022
280,9.92,15.9,7.57,1720,tcj,02-07-2022
290,9.82,15.8,7.46,1721,tcj,02-07-2022
300,9.77,15.6,7.44,1721,tcj,02-07-2022
310,9.49,15.1,7.54,925,tcj,02-07-2022
320,10.12,14.9,7.5,720,tcj,02-07-2022
330,10.54,15.2,5.1,1719,tcj,02-07-2022
340,9.69,15.2,7.51,1705,tcj,02-07-2022
350,9.65,15.5,7.55,1721,tcj,02-07-2022
360,9.52,15.4,7.53,1722,tcj,02-07-2022
370,9.45,15.3,7.76,1722,tcj,02-07-2022
380,9.54,15.4,7.27,1723,tcj,02-07-2022
390,9.5,15.4,7.56,1722,tcj,02-07-2022
400,9.55,15.5,7.5,1717,tcj,02-07-2022
410,9.77,15.5,7.6,1719,tcj,02-07-2022
420,9.55,15.5,7.48,1720,tcj,02-07-2022
430,9.67,15.2,9.59,1717,tcj,02-07-2022
440,9.39,15.1,7.5,1721,tcj,02-07-2022
450,9.45,15,7.51,1721,tcj,02-07-2022
460,9.79,15,7.5,1717,tcj,02-07-2022
470,9.8,17,7.48,1717,tcj,02-07-2022
480,9.8,14.7,7.5,1712,tcj,02-07-2022
490,9.7,14.5,7.4,1717,tcj,02-07-2022
500,9.58,14.4,7.33,1715,tcj,02-07-2022
510,9.62,14.3,7.39,1707,tcj,02-07-2022
520,9.49,14.4,7.37,1716,tcj,02-07-2022
530,9.35,14.3,7.43,1717,tcj,02-07-2022
540,9.41,14.3,7.41,1716,tcj,02-07-2022
550,9.45,14.3,7.43,1718,tcj,02-07-2022
560,9.48,14.3,7.55,1719,tcj,02-07-2022
570,9.58,14.3,7.41,1720,tcj,02-07-2022
580,9.53,14.3,7.5,1719,tcj,02-07-2022
590,9.56,14.3,7.44,1720,tcj,02-07-2022
600,9.63,14.3,7.47,1719,tcj,02-07-2022
610,9.59,14.1,7.45,1718,tcj,02-07-2022
620,9.58,13.8,7.45,1718,tcj,02-07-2022
630,9.52,13.8,7.31,1716,tcj,02-07-2022
640,9.56,13.8,7.34,1716,tcj,02-07-2022
650,9.82,13.7,7.38,175,tcj,02-07-2022
660,9.58,14,7.33,1717,tcj,02-07-2022
670,9.6,14,7.34,1716,tcj,02-07-2022
680,10.08,14,7.4,1715,tcj,02-07-2022
690,9.93,14.1,7.48,1712,tcj,02-07-2022
700,10.45,14.3,7.45,1712,tcj,02-07-2022
710,10.31,14.4,7.48,1715,tcj,02-07-2022
720,10.11,14.5,7.39,1722,tcj,02-07-2022
730,9.23,14.4,7.39,1718,tcj,02-07-2022
740,9.88,14.3,7.46,1713,tcj,02-07-2022
750,10.35,14.3,7.5,1712,tcj,02-07-2022
760,10.05,14.2,7.41,1712,tcj,02-07-2022
770,9.97,14.4,7.45,1688,tcj,02-07-2022
780,10.16,14.4,7.55,1770,tcj,02-07-2022
790,10.22,14.5,7.45,1717,tcj,02-07-2022
800,10.44,14.6,7.41,1714,tcj,02-07-2022
810,10.23,14.6,7.52,1717,tcj,02-07-2022
820,10.22,14.6,7.54,1720,tcj,02-07-2022
830,9.86,14.7,7.49,1723,tcj,02-07-2022
840,9.92,14.7,7.44,1719,tcj,02-07-2022
850,9.78,14.7,7.51,1721,tcj,02-07-2022
860,9.88,14.8,7.48,1723,tcj,02-07-2022
870,10,14.8,7.64,1716,tcj,02-07-2022
880,9.78,14.8,7.46,1720,tcj,02-07-2022
890,9.78,14.8,7.6,1719,tcj,02-07-2022
900,9.75,14.8,7.4,1718,tcj,02-07-2022
910,9.77,14.5,7.48,1717,tcj,02-07-2022
920,9.8,14.7,7.46,1716,tcj,02-07-2022
930,9.66,14.8,7.59,1719,tcj,02-07-2022
940,9.61,14.7,7.58,1719,tcj,02-07-2022
950,9.71,14.7,7.51,1719,tcj,02-07-2022
960,9.63,14.7,7.57,1719,tcj,02-07-2022
970,9.5,14.8,7.46,1719,tcj,02-07-2022
980,9.68,14.7,7.52,1728,tcj,02-07-2022
990,9.54,14.7,7.45,1722,tcj,02-07-2022
